year,month,date,index
2013,11,17,6
2013,11,18,6
2013,11,19,6
2013,11,20,6
2013,11,21,6
2013,11,22,5
2013,11,23,5
2013,11,24,6
2013,11,25,6
2013,11,26,6
2013,11,27,6
2013,11,28,6
2013,11,29,6
2013,11,30,6
2013,12,1,6
2013,12,2,6
2013,12,3,6
2013,12,4,6
2013,12,5,6
2013,12,6,6
2013,12,7,6
2013,12,8,6
2013,12,9,6
2013,12,10,6
2013,12,11,6
2013,12,12,6
2013,12,13,6
2013,12,14,6
2013,12,15,6
2013,12,16,6
2013,12,17,6
2013,12,18,6
2013,12,19,6
2013,12,20,6
2013,12,21,6
2013,12,22,6
2013,12,23,4
2013,12,24,4
2013,12,25,4
2013,12,26,7
2013,12,27,6
2013,12,28,6
2013,12,29,6
2013,12,30,6
2013,12,31,7
