,Hours,Content Adgroup,Content,ContentID,ContentType,ContentSite,Adgroup,Adgroup Name,Adgroup Type,SEM Keyword,Keyword,KeywordType,Campaign Clicks,Order Value,Visitors,New Visitors,Bounces,Entry Rate %,Exit Rate %,OP Visits w Catalogue %,OP Visits w Search %,OP Visits w Product %,OP Visits w step Cart %,Campaign Lifecycle Contacts
3657,9,[B_061291]: Spotec (Mobile),B_061291,B_061291,NA,NA,Spotec (Mobile),Spotec,Mobile,spotec (Broad),spotec ,Broad,3,-1.0,1,0,0,100,0,100,0,0,0,-1
3658,9,[B_060603|att_01]: Adidas collection {ID} (Mobile),B_060603|att_01,B_060603,att_01,NA,Adidas collection (Mobile),Adidas collection,Mobile,adidas ax 1 (Exact),adidas ax 1 ,Exact,3,-1.0,1,0,0,100,0,100,0,0,0,-1
3659,9,[B_062695|sty_02]: Minimal style {ID},B_062695|sty_02,B_062695,sty_02,NA,Minimal style,Minimal style,NA,+model +minimal (Broad),model minimal ,Broad,3,-1.0,1,0,0,100,0,100,0,0,0,-1
3660,9,[B_063246|geo_01]: Beetle Bug indonesia {ID},B_063246|geo_01,B_063246,geo_01,NA,Beetle Bug indonesia,Beetle Bug indonesia,NA,+Beetle +Bug +indonesia (Broad),beetle bug indonesia ,Broad,2,-1.0,1,0,0,100,0,100,0,100,0,-1
3661,9,[B_063205|geo_01]: Umbro indonesia {ID} (Test),B_063205|geo_01,B_063205,geo_01,NA,Umbro indonesia (Test),Umbro indonesia,Test,+umbro +indonesia (Broad),umbro indonesia ,Broad,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3662,9,[B_063182|eco_01]: Binca online {ID},B_063182|eco_01,B_063182,eco_01,NA,Binca online,Binca online,NA,+binca +online (Broad),binca online ,Broad,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3663,9,[B_062695|eco_02]: Minimal online shop {ID},B_062695|eco_02,B_062695,eco_02,NA,Minimal online shop,Minimal online shop,NA,+toko +minimal (Broad),toko minimal ,Broad,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3664,9,[B_062891]: calliope {ID},B_062891,B_062891,NA,NA,calliope,calliope,NA,calliope (Exact),calliope ,Exact,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3665,9,[B_061344|geo_01]: Crumpler indonesia {ID} (Mobile),B_061344|geo_01,B_061344,geo_01,NA,Crumpler indonesia (Mobile),Crumpler indonesia,Mobile,+crumpler +indonesia (Broad),crumpler indonesia ,Broad,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3666,9,[B_060666|geo_04]: Skin Food jakarta {ID} (Mobile),B_060666|geo_04,B_060666,geo_04,NA,Skin Food jakarta (Mobile),Skin Food jakarta,Mobile,+skin +food +jakarta (Broad),skin food jakarta ,Broad,2,-1.0,1,0,0,100,0,100,0,0,0,-1
3667,9,[B_063241|geo_01]: Arrow indonesia {ID},B_063241|geo_01,B_063241,geo_01,NA,Arrow indonesia,Arrow indonesia,NA,+Arrow +indonesia (Broad),arrow indonesia ,Broad,1,-1.0,1,0,0,100,0,100,100,0,0,-1
3668,9,[B_063368]: Ghea Kids {ID},B_063368,B_063368,NA,NA,Ghea Kids,Ghea Kids,NA,ghea kids (Exact),ghea kids ,Exact,1,-1.0,1,0,0,100,0,100,100,0,0,-1
3669,9,[B_060463|geo_01]: Contempo indonesia {ID},B_060463|geo_01,B_060463,geo_01,NA,Contempo indonesia,Contempo indonesia,NA,+contempo +indonesia (Broad),contempo indonesia ,Broad,1,-1.0,1,0,0,100,0,100,100,0,0,-1
3670,9,[B_063378]: Huer {ID},B_063378,B_063378,NA,NA,Huer,Huer,NA,huer (Broad),huer ,Broad,1,-1.0,1,0,0,100,0,100,100,0,0,-1
3671,9,[B_060235]: Xsml {ID},B_060235,B_060235,NA,NA,Xsml,Xsml,NA,x sml (Exact),x sml ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3672,9,[B_060612|eco_05]: Fila stockist {ID},B_060612|eco_05,B_060612,eco_05,NA,Fila stockist,Fila stockist,NA,+jual +fila (Broad),jual fila ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3673,9,[B_063262]: Jergens {ID},B_063262,B_063262,NA,NA,Jergens,Jergens,NA,+Jergens (Broad),jergens ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3674,9,[B_063298]: Tanita {ID},B_063298,B_063298,NA,NA,Tanita,Tanita,NA,+Tanita (Broad),tanita ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3675,9,[B_063244]: Kuki {ID},B_063244,B_063244,NA,NA,Kuki,Kuki,NA,Kuki (Exact),kuki ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3676,9,[B_063208|geo_04]: Vans jakarta {ID} (Test),B_063208|geo_04,B_063208,geo_04,NA,Vans jakarta (Test),Vans jakarta,Test,+vans +jakarta (Broad),vans jakarta ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3677,9,[B_061807]: Red Liquid {ID},B_061807,B_061807,NA,NA,Red Liquid,Red Liquid,NA,red liquid (Exact),red liquid ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3678,9,[B_062990|geo_01]: Homyped indonesia {ID},B_062990|geo_01,B_062990,geo_01,NA,Homyped indonesia,Homyped indonesia,NA,+homyped +indonesia (Broad),homyped indonesia ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3679,9,[B_063350|geo_01]: Heatwave indonesia {ID} (Test),B_063350|geo_01,B_063350,geo_01,NA,Heatwave indonesia (Test),Heatwave indonesia,Test,+heatwave +indonesia (Broad),heatwave indonesia ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3680,9,[B_063254|eco_11]: Mineola fashion {ID},B_063254|eco_11,B_063254,eco_11,NA,Mineola fashion,Mineola fashion,NA,+MINEOLA +fashion (Broad),mineola fashion ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3681,9,[B_062938|geo_02]: League bandung {ID},B_062938|geo_02,B_062938,geo_02,NA,League bandung,League bandung,NA,+league +di +bandung (Broad),league di bandung ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3682,9,[B_061456|geo_02]: s.Oliver bandung {ID},B_061456|geo_02,B_061456,geo_02,NA,s.Oliver bandung,s.Oliver bandung,NA,+s +oliver +di +bandung (Broad),s oliver di bandung ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3683,9,[B_063273]: Body Natur {ID},B_063273,B_063273,NA,NA,Body Natur,Body Natur,NA,Body Natur (Exact),body natur ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3684,9,[B_061808|eco_01]: The Face Shop online {ID},B_061808|eco_01,B_061808,eco_01,NA,The Face Shop online,The Face Shop online,NA,+the +face +shop +online (Broad),the face shop online ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3685,9,[B_060981]: Mini Pink {ID},B_060981,B_060981,NA,NA,Mini Pink,Mini Pink,NA,+mini +pink (Broad),mini pink ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3686,9,[B_063254]: Mineola {ID},B_063254,B_063254,NA,NA,Mineola,Mineola,NA,MINEOLA (Exact),mineola ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3687,9,[B_063352|geo_04]: Toms Shoes jakarta {ID} (Test),B_063352|geo_04,B_063352,geo_04,NA,Toms Shoes jakarta (Test),Toms Shoes jakarta,Test,+toms +shoes +jakarta (Broad),toms shoes jakarta ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3688,9,[B_062396]: Julie Rochili {ID},B_062396,B_062396,NA,NA,Julie Rochili,Julie Rochili,NA,julie rochili (Exact),julie rochili ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3689,9,[B_063340]: Heath {ID},B_063340,B_063340,NA,NA,Heath,Heath,NA,+heath (Broad),heath ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3690,9,[B_061347]: Hermes {ID},B_061347,B_061347,NA,NA,Hermes,Hermes,NA,+hermes (Broad),hermes ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3691,9,[B_061497]: Liz Claiborne {ID},B_061497,B_061497,NA,NA,Liz Claiborne,Liz Claiborne,NA,+liz +claiborne (Broad),liz claiborne ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3692,9,[B_060034|geo_01]: Melissa indonesia {ID},B_060034|geo_01,B_060034,geo_01,NA,Melissa indonesia,Melissa indonesia,NA,+melissa +indonesia (Broad),melissa indonesia ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3693,9,[B_060980|col_01]: Pink color {ID} (Mobile),B_060980|col_01,B_060980,col_01,NA,Pink color (Mobile),Pink color,Mobile,+pink +coklat (Broad),pink coklat ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3694,9,[B_063199|geo_01]: Mavala indonesia {ID},B_063199|geo_01,B_063199,geo_01,NA,Mavala indonesia,Mavala indonesia,NA,+mavala +indonesia (Broad),mavala indonesia ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
3695,9,[B_063233|eco_01]: Denim online {ID},B_063233|eco_01,B_063233,eco_01,NA,Denim online,Denim online,NA,+Denim +online (Broad),denim online ,Broad,1,-1.0,1,0,0,100,0,100,0,0,0,-1
